Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2023,75.03,75.26,74.95,75.2,0.21,+0.28%,24661500
04/21/2023,74.88,75.03,74.695,74.99,0.23,+0.31%,33061800
04/20/2023,74.65,74.875,74.55,74.76,-0.07,-0.09%,30204000
04/19/2023,74.83,74.99,74.78,74.83,-0.3,-0.40%,26979400
04/18/2023,75.26,75.36,74.98,75.13,0.05,+0.07%,28030700
04/17/2023,75.07,75.16,74.81,75.08,-0.2,-0.27%,26391100
04/14/2023,75.4,75.55,75.08,75.28,-0.14,-0.19%,43767500
04/13/2023,75.04,75.62,75.04,75.42,0.51,+0.68%,95863900
04/12/2023,75.31,75.38,74.845,74.91,-0.02,-0.03%,41457500
04/11/2023,74.77,75.1,74.71,74.93,0.16,+0.21%,28875000
04/10/2023,74.58,74.81,74.41,74.77,-0.07,-0.09%,28601400
04/06/2023,74.39,74.96,74.29,74.84,0.33,+0.44%,35719600
04/05/2023,74.88,74.95,74.42,74.51,-0.42,-0.56%,37633900
04/04/2023,75.15,75.26,74.845,74.93,-0.22,-0.29%,46144300
04/03/2023,75.14,75.3,74.97,75.15,-0.058,-0.08%,43302900
03/31/2023,74.6306,75.3076,74.6107,75.208,0.8063,+1.08%,54465354
03/30/2023,74.1329,74.4116,73.9338,74.4017,0.438,+0.59%,37299027
03/29/2023,73.3166,73.9736,73.3166,73.9637,0.9159,+1.25%,44659441
03/28/2023,72.9483,73.1424,72.8039,73.0478,-0.0398,-0.05%,38451272
03/27/2023,73.4161,73.5257,73.0876,73.0876,-0.1792,-0.24%,31045654
03/24/2023,73.1175,73.3564,73.0578,73.2668,-0.1493,-0.20%,44426626
03/23/2023,73.6949,74.0334,73.1872,73.4161,-0.2887,-0.39%,54909502
03/22/2023,73.6451,74.4514,73.3763,73.7048,0.0696,+0.09%,55514730
03/21/2023,73.3166,73.7397,73.1623,73.6352,0.7964,+1.09%,38377102
03/20/2023,72.8985,73.227,72.7392,72.8388,-0.1991,-0.27%,38715946
03/17/2023,73.1076,73.441,72.9035,73.0379,-0.438,-0.60%,55382882
03/16/2023,72.799,73.6152,72.6895,73.4759,0.4778,+0.65%,62452086
03/15/2023,72.4804,73.0677,72.2813,72.9981,-0.2389,-0.33%,81825052
03/14/2023,73.3564,73.5754,72.9383,73.237,0.5276,+0.73%,66697394
03/13/2023,72.8587,73.6451,72.5003,72.7094,-0.3982,-0.54%,78834930
03/10/2023,73.1474,73.6152,72.8388,73.1076,0.01,+0.01%,81886540
03/09/2023,73.5754,73.884,73.018,73.0976,-0.4081,-0.56%,52909002
03/08/2023,73.9039,74.0234,73.3564,73.5057,-0.3485,-0.47%,54550770
03/07/2023,74.3917,74.4315,73.8442,73.8542,-0.5276,-0.71%,40404983
03/06/2023,74.551,74.6505,74.322,74.3818,0,0.00%,33582805
03/03/2023,73.9537,74.4714,73.8342,74.3818,0.7566,+1.03%,50351202
03/02/2023,73.1474,73.7148,73.1474,73.6252,0.0896,+0.12%,38089220
03/01/2023,73.7447,73.7646,73.3564,73.5356,-0.2091,-0.28%,45547590
02/28/2023,73.8535,73.8535,73.6358,73.7447,-0.1385,-0.19%,33157167
02/27/2023,73.7348,73.9821,73.5962,73.8832,0.4948,+0.67%,40720977
02/24/2023,73.2202,73.5369,73.1411,73.3884,-0.4453,-0.60%,48083197
02/23/2023,73.4478,73.9426,73.3489,73.8337,0.7223,+0.99%,48418403
02/22/2023,72.8245,73.4082,72.8245,73.1114,0.4749,+0.65%,70839662
02/21/2023,73.0718,73.2499,72.3396,72.6365,-1.1378,-1.54%,99834233
02/17/2023,73.3687,73.8931,73.0916,73.7743,0.2869,+0.39%,76718752
02/16/2023,73.7546,73.804,73.4478,73.4874,-0.5937,-0.80%,90903167
02/15/2023,73.9327,74.091,73.7941,74.0811,-0.1187,-0.16%,45375723
02/14/2023,74.0415,74.3977,73.7249,74.1998,0.0198,+0.03%,54770741
02/13/2023,74.0415,74.4224,73.9623,74.18,0.188,+0.25%,39153884
02/10/2023,74.2394,74.4571,73.898,73.992,-0.5739,-0.77%,66606876
02/09/2023,75.308,75.308,74.4966,74.5659,-0.4848,-0.65%,43035277
02/08/2023,75.2585,75.3575,74.8924,75.0507,-0.3167,-0.42%,34429312
02/07/2023,75.031,75.5554,74.9815,75.3674,0.2672,+0.36%,37496597
02/06/2023,75.2585,75.2981,74.9914,75.1002,-0.4849,-0.64%,41380348
02/03/2023,75.7928,76.0501,75.5257,75.5851,-0.8014,-1.05%,40104772
02/02/2023,76.5053,76.525,76.2579,76.3865,0.4353,+0.57%,57000445
02/01/2023,75.1794,76.1688,74.9765,75.9512,0.7896,+1.05%,47400344
01/31/2023,74.7775,75.1862,74.7578,75.1616,0.581,+0.78%,41643955
01/30/2023,74.7185,74.8612,74.5609,74.5806,-0.4136,-0.55%,32499389
01/27/2023,75.1025,75.201,74.8809,74.9942,-0.2265,-0.30%,36370127
01/26/2023,75.1911,75.2994,74.9252,75.2207,0.1871,+0.25%,25908885
01/25/2023,74.7972,75.1123,74.7135,75.0336,-0.0098,-0.01%,26259759
01/24/2023,74.8465,75.0828,74.7185,75.0434,0.0492,+0.07%,28206272
01/23/2023,74.9351,75.201,74.8071,74.9942,-0.0098,-0.01%,27180762
01/20/2023,74.8366,75.004,74.5708,75.004,0.1477,+0.20%,37194772
01/19/2023,75.0434,75.1616,74.7874,74.8563,-0.4431,-0.59%,50849290
01/18/2023,75.6736,75.8952,75.2797,75.2994,0.0886,+0.12%,53813372
01/17/2023,75.3487,75.3782,75.1222,75.2108,-0.256,-0.34%,31442510
01/13/2023,75.0926,75.5948,75.0483,75.4668,0,0.00%,26710279
01/12/2023,75.2305,75.5259,74.8859,75.4668,0.4234,+0.56%,29861925
01/11/2023,74.8366,75.0828,74.6889,75.0434,0.4923,+0.66%,32321365
01/10/2023,74.6003,74.7086,74.3738,74.5511,-0.0886,-0.12%,36250386
01/09/2023,74.5904,74.7923,74.4821,74.6397,0.2659,+0.36%,36363532
01/06/2023,73.7239,74.62,73.5565,74.3738,1.0438,+1.42%,60974485
01/05/2023,73.2217,73.3941,73.0445,73.33,-0.1477,-0.20%,35688221
01/04/2023,73.1233,73.5171,72.8574,73.4777,0.8369,+1.15%,37697180
01/03/2023,72.9756,73.0543,72.5324,72.6408,0.1379,+0.19%,29235304
12/30/2022,72.1976,72.5423,72.1583,72.5029,0.0591,+0.08%,15406131
12/29/2022,71.8038,72.4931,71.6364,72.4438,0.9256,+1.29%,33897699
12/28/2022,72.6112,72.6998,71.4788,71.5182,-0.9749,-1.34%,41703175
12/27/2022,73.1823,73.2316,72.4537,72.4931,-0.7582,-1.04%,22451565
12/23/2022,72.946,73.3103,72.818,73.2513,0.1871,+0.26%,13401844
12/22/2022,73.2316,73.3448,72.7885,73.0642,-0.4529,-0.62%,27312275
12/21/2022,73.2611,73.6501,73.202,73.5171,0.6203,+0.85%,23572247
12/20/2022,72.7195,73.0543,72.5669,72.8968,-0.1871,-0.26%,33429516
12/19/2022,73.1725,73.3202,72.9263,73.0839,-0.3741,-0.51%,24510283
12/16/2022,73.4285,73.662,73.271,73.458,-0.3939,-0.53%,38790921
12/15/2022,73.7633,73.9602,73.4876,73.8519,-0.2797,-0.38%,42314246
12/14/2022,74.4548,74.6507,73.6761,74.1316,-0.4212,-0.56%,58371471
12/13/2022,75.0426,75.1307,74.1414,74.5528,0.7641,+1.04%,46882406
12/12/2022,73.6761,73.8573,73.5586,73.7887,0.284,+0.39%,22883921
12/09/2022,73.2892,73.7789,73.2892,73.5047,0,0.00%,21119398
12/08/2022,73.5341,73.6026,73.2696,73.5047,0.0588,+0.08%,24337438
12/07/2022,73.0247,73.5341,73.0247,73.4459,0.4016,+0.55%,25128431
12/06/2022,73.3382,73.4655,72.9072,73.0443,-0.2645,-0.36%,25498499
12/05/2022,73.7398,73.7545,73.1618,73.3088,-0.7052,-0.95%,30357501
12/02/2022,73.4557,74.0434,73.4508,74.014,-0.0588,-0.08%,28110862
12/01/2022,74.0238,74.112,73.6418,74.0728,0.2733,+0.37%,43014181
11/30/2022,72.7656,73.8288,72.5607,73.7995,1.0924,+1.50%,42753420
11/29/2022,72.3949,72.7656,72.2584,72.7071,0.3122,+0.43%,27847045
11/28/2022,72.9607,73.0875,72.3705,72.3949,-0.7706,-1.05%,32467285
11/25/2022,73.3021,73.3264,73.0533,73.1655,-0.1463,-0.20%,9704433
11/23/2022,72.8436,73.4435,72.8241,73.3118,0.4097,+0.56%,31080581
11/22/2022,72.512,72.9509,72.4291,72.9021,0.5267,+0.73%,25191985
