Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2023,411.99,413.07,410.6,412.63,0.43,+0.10%,64332000
04/21/2023,412.19,412.68,410.17,412.2,0.32,+0.08%,73457400
04/20/2023,411.21,413.7,410.27,411.88,-2.26,-0.55%,75840300
04/19/2023,412.22,415.08,412.16,414.14,-0.07,-0.02%,55227300
04/18/2023,415.58,415.72,412.7802,414.21,0.27,+0.07%,63559900
04/17/2023,412.37,413.96,411.085,413.94,1.48,+0.36%,66436400
04/14/2023,412.81,415.09,410.06,412.46,-1.01,-0.24%,78161500
04/13/2023,409.18,413.84,407.9922,413.47,5.42,+1.33%,85814700
04/12/2023,411.87,412.17,407.44,408.05,-1.67,-0.41%,86420300
04/11/2023,410.26,411.18,408.92,409.72,0.11,+0.03%,59297900
04/10/2023,406.61,409.69,405.97,409.61,0.42,+0.10%,63681000
04/06/2023,406.77,409.48,405.678,409.19,1.59,+0.39%,63743300
04/05/2023,407.91,408.7,405.88,407.6,-1.07,-0.26%,65200200
04/04/2023,411.62,411.92,407.24,408.67,-2.28,-0.55%,66601500
04/03/2023,408.85,411.37,408.44,410.95,1.56,+0.38%,67391100
03/31/2023,404.66,409.7,404.55,409.39,5.69,+1.41%,112062600
03/30/2023,404.09,404.35,401.76,403.7,2.35,+0.59%,69840000
03/29/2023,399.92,401.6,398.68,401.35,5.75,+1.45%,77497800
03/28/2023,395.77,396.49,393.69,395.6,-0.89,-0.22%,62871600
03/27/2023,398.12,398.92,395.56,396.49,0.74,+0.19%,74010400
03/24/2023,391.84,395.84,389.4,395.75,2.58,+0.66%,107770100
03/23/2023,395.09,399.29,390.35,393.17,1.06,+0.27%,119351300
03/22/2023,398.73,402.49,392.07,392.11,-6.8,-1.70%,111746500
03/21/2023,397.24,399.41,395.58,398.91,5.17,+1.31%,91524200
03/20/2023,390.8,394.17,390.07,393.74,3.75,+0.96%,93055700
03/17/2023,393.22,394.4,388.55,389.99,-4.614,-1.17%,140553400
03/16/2023,385.3493,394.9627,384.8214,394.604,6.804,+1.75%,144302536
03/15/2023,384.4229,388.0092,382.2512,387.8,-2.4407,-0.63%,173657128
03/14/2023,389.0154,391.9541,385.5785,390.2407,6.3458,+1.65%,150323825
03/13/2023,380.3584,388.9058,379.2028,383.8949,-0.5479,-0.14%,158392088
03/10/2023,389.5035,391.6652,382.8589,384.4428,-5.6285,-1.44%,190141804
03/09/2023,398.2202,399.9536,389.0452,390.0713,-7.3321,-1.85%,112372533
03/08/2023,396.8754,398.1903,395.0822,397.4034,0.6476,+0.16%,75031855
03/07/2023,402.8825,403.1315,396.1133,396.7558,-6.1764,-1.53%,108723956
03/06/2023,403.51,405.9009,402.474,402.9322,0.2789,+0.07%,73073735
03/03/2023,398.1903,402.9123,397.5129,402.6533,6.3557,+1.60%,90463843
03/02/2023,391.1871,397.1742,390.8384,396.2976,3.0584,+0.78%,85730634
03/01/2023,393.9067,395.1818,391.8844,393.2392,-1.5143,-0.38%,100087335
02/28/2023,395.7198,397.762,394.6439,394.7535,-1.4644,-0.37%,96806529
02/27/2023,398.3497,399.7643,395.2416,396.2179,1.3449,+0.34%,80751711
02/24/2023,393.9167,395.7397,392.1434,394.873,-4.2637,-1.07%,108607315
02/23/2023,400.0333,400.6709,394.7435,399.1367,2.1119,+0.53%,96609713
02/22/2023,398.0011,399.6049,395.5105,397.0248,-0.5479,-0.14%,84061793
02/21/2023,401.5276,402.6234,397.3037,397.5727,-8.139,-2.01%,82971352
02/17/2023,404.5162,405.9607,402.5138,405.7117,-1.0161,-0.25%,89598430
02/16/2023,407.2358,411.3402,406.5883,406.7278,-5.6783,-1.38%,76723085
02/15/2023,408.7899,412.4858,407.9132,412.4061,1.3349,+0.32%,61920617
02/14/2023,409.6765,413.472,406.9579,411.0712,-0.1892,-0.05%,88726622
02/13/2023,407.1661,411.3999,406.6879,411.2604,4.7717,+1.17%,65161244
02/10/2023,404.3169,406.8872,403.4702,406.4887,0.9464,+0.23%,71039777
02/09/2023,412.8345,412.9938,404.2671,405.5423,-3.5464,-0.87%,78995130
02/08/2023,411.5593,412.954,408.3715,409.0887,-4.5228,-1.09%,76518319
