Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2023,82.36,82.74,81.42,82.06,-0.31,-0.38%,3673500
04/21/2023,82.39,82.77,81.675,82.37,0.01,+0.01%,5136600
04/20/2023,82.68,82.77,81.93,82.36,-0.82,-0.99%,4604300
04/19/2023,82.27,83.37,81.97,83.18,0.49,+0.59%,3624300
04/18/2023,82.97,82.98,82.27,82.69,-0.19,-0.23%,4189600
04/17/2023,81.19,82.9,81.19,82.88,1.69,+2.08%,5149000
04/14/2023,82.52,83.0142,80.565,81.19,-1.28,-1.55%,5078400
04/13/2023,82.78,82.825,81.68,82.47,-0.25,-0.30%,3884300
04/12/2023,83.86,83.98,82.58,82.72,-0.4,-0.48%,5920500
04/11/2023,82.93,83.8,82.6,83.12,0.35,+0.42%,4839400
04/10/2023,82,82.785,81.53,82.77,0.38,+0.46%,3972200
04/06/2023,82.12,82.44,81.47,82.39,0.56,+0.68%,7008200
04/05/2023,82.04,82.6,81.705,81.83,-0.44,-0.53%,7024000
04/04/2023,82.55,82.72,81.72,82.27,-0.11,-0.13%,6243400
04/03/2023,82.94,83.62,81.96,82.38,-0.66,-0.79%,7582800
03/31/2023,81.77,83.115,81.64,83.04,1.74,+2.14%,6148200
03/30/2023,81.02,81.55,80.9,81.3,1.05,+1.31%,4838000
03/29/2023,79.44,80.35,79.3,80.25,1.74,+2.22%,6364000
03/28/2023,78.12,78.86,77.82,78.51,-0.19,-0.24%,4213700
03/27/2023,79.26,79.55,78.585,78.7,-0.09,-0.11%,4956800
03/24/2023,76.46,78.805,76.22,78.79,1.97,+2.56%,8380000
03/23/2023,77.7012,78.7011,76.5428,76.82,-0.4851,-0.63%,6337391
03/22/2023,79.8397,79.8694,77.2853,77.3051,-3,-3.74%,8366533
03/21/2023,81.1862,81.4041,79.6021,80.3051,-0.3564,-0.44%,5074860
03/20/2023,80.3546,81.008,79.6417,80.6615,0.9109,+1.14%,6363450
03/17/2023,81.2654,81.3447,79.6714,79.7506,-1.8515,-2.27%,9194347
03/16/2023,81.0476,82.008,80.1467,81.6021,-0.1782,-0.22%,10428184
03/15/2023,80.5031,82.0278,80.4882,81.7803,-0.0594,-0.07%,10387987
03/14/2023,82.4337,82.7902,80.9585,81.8397,0.7822,+0.96%,8793666
03/13/2023,79.5922,82.1318,79.2952,81.0575,1.0495,+1.31%,16451267
03/10/2023,82.6317,82.8001,79.5823,80.008,-2.7426,-3.31%,10455128
03/09/2023,84.8297,84.9089,82.5674,82.7506,-1.9405,-2.29%,6034482
03/08/2023,83.6911,85.1861,83.6515,84.6911,0.9604,+1.15%,5808139
03/07/2023,85.6713,85.7505,83.5525,83.7307,-2,-2.33%,6606061
03/06/2023,86.4634,86.5426,85.5277,85.7307,-0.3366,-0.39%,3932727
03/03/2023,85.4535,86.2604,85.2059,86.0673,1.2871,+1.52%,4587628
03/02/2023,83.206,84.9089,83.0872,84.7802,0.9802,+1.17%,5261010
03/01/2023,84.2753,84.5228,83.1268,83.8,-1.0693,-1.26%,7112385
02/28/2023,84.9485,85.9782,84.7703,84.8693,-0.1188,-0.14%,7333781
02/27/2023,85.6812,86.2851,84.6218,84.9881,0.1287,+0.15%,5222731
02/24/2023,85.404,85.4733,84.4188,84.8594,-1.5148,-1.75%,5116072
02/23/2023,86.2554,86.602,85.4337,86.3742,0.6435,+0.75%,6135793
02/22/2023,86.7307,86.899,85.3446,85.7307,-0.7821,-0.90%,4501168
02/21/2023,87.7306,87.7406,86.1267,86.5128,-1.7723,-2.01%,4975882
02/17/2023,88.3247,88.5722,87.4435,88.2851,-0.3465,-0.39%,4342695
02/16/2023,88.2455,89.4138,87.5425,88.6316,-0.8713,-0.97%,4538035
02/15/2023,88.6019,89.5227,88.3544,89.5029,0.3565,+0.40%,3706986
02/14/2023,89.5722,90.2553,88.6118,89.1464,-0.7129,-0.79%,4259877
02/13/2023,89.2851,89.9979,89.1861,89.8593,0.7921,+0.89%,2951187
02/10/2023,88.3643,89.2356,87.8792,89.0672,0.3069,+0.35%,3302980
02/09/2023,90.1068,90.6217,88.5177,88.7603,-0.9802,-1.09%,2934219
02/08/2023,89.7504,90.2454,89.4237,89.7405,-0.4257,-0.47%,4935882
02/07/2023,89.9385,90.5821,88.9781,90.1662,-0.198,-0.22%,5971866
02/06/2023,89.8989,90.4731,89.4435,90.3642,-0.6634,-0.73%,3825465
02/03/2023,91.4731,91.5226,89.8989,91.0276,-1.7425,-1.88%,5406553
02/02/2023,91.5325,93.5869,91.5028,92.7701,2.0593,+2.27%,5270909
02/01/2023,89.6712,91.3246,88.7108,90.7108,0.5545,+0.62%,9885499
01/31/2023,88.4039,90.2652,88.2554,90.1563,1.8514,+2.10%,5504325
01/30/2023,88.7306,89.6811,88.2653,88.3049,-1.1386,-1.27%,4785187
01/27/2023,88.2554,89.7801,88.2554,89.4435,0.9901,+1.12%,5021935
01/26/2023,87.9683,88.4732,87.4881,88.4534,0.9802,+1.12%,3978380
01/25/2023,87.0376,87.6118,86.6317,87.4732,0.0396,+0.05%,5003152
01/24/2023,86.9782,87.7999,86.1366,87.4336,0.2178,+0.25%,3848795
01/23/2023,86.8297,87.7059,86.2752,87.2158,0.396,+0.46%,5205761
01/20/2023,85.8198,86.8495,84.8198,86.8198,1.0198,+1.19%,4293709
01/19/2023,85.8,86.7604,85.7505,85.8,-0.4752,-0.55%,4743877
