Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI"
2022-09-30,32.54%,-0.07%,91.34%,98%,6.839552238806,4202,2.4273474229975,78003
2022-09-29,32.61%,+1.74%,91.70%,99%,3.2863070539419,4132,2.4133381529008,75544
2022-09-28,30.87%,-3.44%,83.17%,97%,6.7444876783398,5971,2.4555418550486,75666
2022-09-27,34.31%,+3.05%,100.00%,100%,2.8228638314475,9798,2.4176759083175,68292
2022-09-26,31.26%,+2.42%,93.09%,98%,0.71909090909091,5673,2.5968732857926,65571
2022-09-23,28.84%,+2.63%,80.15%,95%,24.060606060606,38042,1.8502549837738,49184
2022-09-22,26.21%,+0.04%,66.05%,88%,1.3310502283105,2042,1.8447325199437,48497
2022-09-21,26.17%,-0.22%,65.82%,87%,0.5548128342246,1163,1.8984759244641,47735
2022-09-20,26.39%,+1.48%,67.00%,89%,0.97642015005359,1844,1.9192945282313,46843
2022-09-19,24.91%,+0.03%,59.09%,79%,1.3623445825933,1330,2.9633633339855,81027
2022-09-16,24.88%,-0.59%,58.93%,79%,2.0152671755725,1975,3.1430692595076,86499
2022-09-15,25.47%,+0.80%,62.07%,84%,1.5252525252525,1750,3.184019253911,86923
2022-09-14,24.66%,+0.53%,57.78%,78%,20.576506955178,13960,3.1737071048816,86354
2022-09-13,24.14%,+3.23%,54.95%,75%,3.1441176470588,2818,3.1949094468918,85702
2022-09-12,20.91%,-0.34%,37.67%,54%,0.71236559139785,637,3.2227054811447,85438
2022-09-09,21.25%,-0.46%,39.51%,58%,0.66532258064516,413,3.2354137725739,85369
2022-09-08,21.71%,-0.42%,41.96%,61%,15.494505494505,1501,3.2495034756703,85585
2022-09-07,22.12%,-1.46%,44.19%,63%,0.82972972972973,677,3.2877498615377,85159
2022-09-06,23.58%,+0.43%,52.00%,72%,1.8558558558559,1268,3.3096570672637,84702
2022-09-02,23.15%,+0.10%,50.47%,71%,14.664473684211,4762,3.2662028748274,83400
2022-09-01,23.05%,-0.06%,49.95%,69%,13.427692307692,4689,3.1044046516415,79765
2022-08-31,23.12%,-0.59%,50.45%,71%,16.90243902439,2936,2.9885270360652,77525
2022-08-30,23.71%,+0.62%,53.74%,73%,9.67004048583,5271,2.7707507847476,73277
2022-08-29,23.09%,+1.13%,50.52%,70%,26.142168674699,11264,2.7809415534081,73165
2022-08-26,21.95%,+2.85%,45.38%,65%,1.3190394511149,1352,2.7864846558641,72674
2022-08-25,19.10%,-1.46%,30.69%,46%,3.97,994,2.7777428316821,72068
2022-08-24,20.56%,-0.55%,38.20%,56%,3.0097087378641,413,2.7736701150029,71862
2022-08-23,21.12%,+0.06%,41.06%,61%,2.3002309468822,1429,2.7965159773432,71048
2022-08-22,21.06%,+2.85%,40.75%,61%,2.0821484992101,1951,2.8514615547553,72731
2022-08-19,18.21%,-0.07%,26.07%,41%,0.62412342215989,1158,2.5717825320436,74961
2022-08-18,18.28%,+0.29%,26.43%,42%,0.60035523978686,901,2.5837778098121,74582
2022-08-17,17.99%,+0.48%,24.93%,39%,0.76428571428571,988,2.5878940243667,74212
2022-08-16,17.51%,-0.69%,22.48%,35%,1.6055555555556,469,2.5816361085579,74036
2022-08-15,18.20%,+1.13%,26.05%,42%,99.478260869565,20799,2.5659590966366,73580
2022-08-12,17.07%,-1.73%,20.23%,29%,0.6463963963964,731,2.5781059609105,73412
2022-08-11,18.81%,+0.52%,29.16%,46%,1.3608870967742,1171,2.5887910249471,72935
2022-08-10,18.29%,-0.90%,26.50%,43%,0.67934224049332,1634,2.6412830681191,72538
2022-08-09,19.20%,-0.76%,31.16%,48%,5.6263736263736,603,2.6420231504781,72367
2022-08-08,19.96%,+0.51%,35.08%,54%,2.0682730923695,764,2.6407722941977,72222
2022-08-05,19.45%,-0.79%,32.47%,51%,0.45142857142857,508,2.6558233950774,72038
2022-08-04,20.24%,-0.77%,36.55%,56%,1.4813559322034,732,2.6594713206777,71711
2022-08-03,21.01%,-0.44%,40.52%,60%,0.82978723404255,516,2.6606859888565,71614
2022-08-02,21.46%,+0.67%,42.81%,64%,0.72388059701493,924,2.6780857201731,71399
2022-08-01,20.79%,+1.49%,39.37%,58%,0.32321428571429,1482,2.728975897274,70858
2022-07-29,19.30%,-0.16%,31.68%,52%,0.6963696369637,1028,2.7364136181011,70678
2022-07-28,19.46%,-1.73%,32.51%,53%,1.5901926444834,1479,2.7442406143345,70212
2022-07-27,21.19%,-1.24%,41.43%,62%,1.1486486486486,795,2.7757772370911,69833
2022-07-26,22.43%,+1.04%,47.82%,67%,3.1381578947368,629,2.771540257343,69468
2022-07-25,21.39%,+0.35%,42.47%,64%,1.3273542600897,519,2.7943848511384,69331
2022-07-22,21.04%,-0.82%,40.66%,62%,1.8416988416988,736,2.8150091114915,69086
