Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI"
2023-04-24,20.07%,-0.02%,17.12%,7%,0.77524429967427,1090,2.7584008340685,93727
2023-04-21,20.08%,-0.98%,17.21%,7%,0.29639889196676,1404,2.6923162749182,99279
2023-04-20,21.06%,+1.49%,22.81%,15%,0.37395659432387,823,2.7290001508068,98908
2023-04-19,19.57%,-0.81%,14.27%,6%,0.26644182124789,1502,2.8110346436487,98016
2023-04-18,20.38%,+0.52%,18.92%,8%,2.3131782945736,2137,2.7765587787452,96729
2023-04-17,19.87%,-2.10%,15.97%,7%,1.008038585209,1249,2.805685327421,96124
2023-04-14,21.96%,+0.30%,27.96%,26%,1.4889336016097,1237,2.8137497012666,95748
2023-04-13,21.66%,-0.41%,26.22%,22%,2.0235546038544,1412,2.8222979747343,95309
2023-04-12,22.06%,-0.01%,28.54%,27%,0.81235697940503,1584,2.8499352121801,95078
2023-04-11,22.46%,+0.24%,30.83%,32%,1.5016722408027,1496,2.8722742707524,94650
2023-04-10,22.23%,+22.23%,29.47%,30%,0.74647887323944,744,2.8836089854357,94395
2023-04-06,22.18%,-0.51%,29.22%,29%,0.59042553191489,897,2.918994530043,93856
2023-04-05,22.69%,-0.39%,32.12%,35%,2.0260223048327,814,2.9333866352466,93473
2023-04-04,23.08%,+0.49%,34.38%,41%,0.49604743083004,757,2.9646963631718,93099
2023-04-03,22.60%,+0.50%,33.61%,33%,1.1102863202545,1990,2.9961955816869,92436
2023-03-31,22.10%,-0.73%,30.83%,29%,0.77126099706745,1812,3.0694611311351,91453
2023-03-30,22.83%,-0.76%,34.87%,36%,1.386593204775,2599,3.1396439906168,90000
2023-03-29,23.58%,-2.52%,40.62%,49%,0.68153230417381,2941,3.30621496466,88342
2023-03-28,26.10%,-0.23%,55.13%,69%,67.663716814159,23277,3.1009129040217,83105
2023-03-27,26.33%,-2.07%,56.33%,71%,1.0039318479685,1529,3.164417487996,82393
2023-03-24,28.39%,-0.07%,67.29%,82%,1.5763195435093,3612,3.274129008163,80110
2023-03-23,28.46%,+1.82%,67.65%,83%,1.7616099071207,1784,3.3289595470137,79510
2023-03-22,26.64%,-0.58%,57.98%,75%,0.16260879145092,10553,2.347172456769,85942
2023-03-21,27.22%,-1.29%,61.08%,78%,7.79,2637,2.2821919956097,83732
2023-03-20,28.51%,-0.69%,67.91%,84%,0.52532833020638,1626,2.8099013157895,115821
2023-03-17,29.20%,+2.21%,71.59%,87%,6.4332603938731,3397,2.9141773972155,119766
2023-03-16,27.00%,-1.52%,59.87%,78%,4.95,952,2.9205725328355,119699
2023-03-15,28.52%,+1.60%,67.95%,84%,45.470588235294,4740,2.905623279591,119184
2023-03-14,26.92%,-2.98%,59.46%,78%,2.9786585365854,1305,2.9008481819975,118656
2023-03-13,29.90%,+2.27%,75.30%,89%,3.7754010695187,1786,2.8978892950048,118375
2023-03-10,27.63%,+3.22%,63.26%,81%,2.2813121272366,3301,2.9445000667468,118193
2023-03-09,24.41%,+2.72%,46.17%,59%,2.1135135135135,1152,2.9595220514197,117970
2023-03-08,21.69%,-0.49%,31.72%,29%,1.3186868686869,9182,3.1327613456762,109824
2023-03-07,22.18%,+1.03%,34.33%,34%,20.12769010043,14726,2.68026898976,96320
2023-03-06,21.15%,+0.60%,28.84%,24%,1.427397260274,886,2.6947056103576,95885
2023-03-03,20.55%,-1.64%,25.68%,16%,13.402697495183,7475,2.5060706617216,89808
2023-03-02,22.20%,-0.92%,34.40%,33%,1.6286528866714,18440,2.8171827116137,72244
2023-03-01,23.11%,+1.23%,39.28%,47%,1.5669172932331,10242,3.0946499424037,63983
2023-02-28,21.88%,-0.91%,32.73%,31%,1.8385416666667,545,3.1056179775281,63945
2023-02-27,22.79%,-0.30%,37.53%,38%,0.54992764109986,1071,3.1547805642633,63618
2023-02-24,23.09%,+0.90%,39.14%,45%,76.370860927152,23366,2.8170276814345,58328
2023-02-23,22.19%,-0.91%,34.36%,33%,0.60666666666667,723,2.839542872242,58123
2023-02-22,23.10%,-0.85%,39.18%,45%,0.30864197530864,2226,3.1053852286729,56642
2023-02-21,23.94%,+2.33%,43.68%,52%,1.6175771971496,1102,3.2331522832428,63129
2023-02-17,21.61%,-0.34%,31.29%,27%,1.0564853556485,1966,3.0883953146003,63873
2023-02-16,21.95%,+1.13%,33.09%,31%,1.673721340388,1516,3.0725868725869,63288
2023-02-15,20.82%,-0.37%,27.11%,17%,1.3591549295775,1005,3.0833925457012,63215
2023-02-14,21.19%,-1.49%,29.06%,23%,2.8516746411483,805,3.0861452441324,62849
2023-02-13,22.68%,-0.38%,36.98%,36%,1.1969696969697,725,3.1065439000329,62440
2023-02-10,23.07%,+0.38%,39.01%,42%,31.674418604651,4215,2.9116116709478,59390
2023-02-09,22.69%,+0.68%,37.01%,37%,1.0456621004566,896,2.8945366301568,59380
2023-02-08,22.01%,+0.89%,33.42%,32%,2.50625,561,2.9119413822695,59262
2023-02-07,21.12%,-0.72%,28.71%,24%,3.0759493670886,322,2.9087485132814,59155
2023-02-06,21.84%,+1.26%,32.51%,31%,0.85049833887043,557,2.9448539265612,58873
2023-02-03,20.58%,+0.35%,25.81%,17%,1.8571428571429,980,2.9475248193422,58451
2023-02-02,20.23%,-0.30%,23.97%,15%,0.79299691040165,1741,3.0537323943662,57563
2023-02-01,20.53%,-1.11%,25.57%,16%,1.6076923076923,1017,3.0778468796912,57045
2023-01-31,21.64%,-0.75%,31.46%,29%,2.163961038961,1949,3.0982709564456,56175
2023-01-30,22.39%,+1.66%,35.45%,34%,7.1598639455782,2399,3.0751619552415,55357
2023-01-27,20.73%,-0.11%,26.64%,18%,0.31102979613173,2508,3.08763424821,54807
2023-01-26,20.85%,-0.62%,27.23%,19%,0.48260869565217,682,3.1553724053724,54452
2023-01-25,21.47%,-0.04%,30.53%,27%,2.6234567901235,587,3.1528545119705,54120
2023-01-24,21.51%,-0.06%,30.76%,27%,2.5859030837004,814,3.1546152057661,53607
2023-01-23,21.57%,-0.07%,31.08%,27%,0.90635451505017,1140,2.9358878913948,89876
2023-01-20,21.64%,-0.82%,31.47%,27%,0.37112010796221,2032,2.6976623376623,92534
2023-01-19,22.46%,+0.11%,35.81%,33%,1.2629213483146,1007,2.6951629694883,92283
2023-01-18,22.35%,+0.65%,35.20%,32%,1.2117962466488,1650,2.6963160445952,91506
2023-01-17,21.70%,+0.86%,31.76%,29%,1.4104308390023,1063,2.7021587404642,91236
2023-01-13,20.84%,-0.51%,27.21%,20%,0.79368421052632,852,2.7175878574643,90869
2023-01-12,21.35%,-2.09%,29.91%,27%,1.1845018450185,1776,2.7281216428394,90228
2023-01-11,23.44%,+0.38%,40.98%,45%,1.3885209713024,1082,2.7308905303345,89907
2023-01-10,23.05%,-0.43%,38.94%,40%,3.4657534246575,652,2.7266871675532,89679
2023-01-09,23.48%,+0.64%,41.22%,45%,1.1325757575758,1126,2.7375755540631,89044
2023-01-06,22.85%,-2.39%,37.85%,38%,0.62356792144026,992,2.7894624116513,88465
2023-01-05,25.24%,+1.72%,50.53%,66%,1.4560810810811,727,2.7876615292148,88226
2023-01-04,23.52%,-1.49%,41.41%,47%,2.3891213389121,1620,2.7982068607069,87693
2023-01-03,25.01%,+1.18%,49.32%,63%,1.741847826087,1009,2.8225679228747,87231
2022-12-30,23.83%,+0.82%,43.29%,51%,1.3036211699164,827,2.8428912255898,86980
2022-12-29,23.01%,-1.55%,39.84%,42%,0.87022900763359,735,2.8570919775621,86638
2022-12-28,24.56%,+1.19%,48.40%,59%,12.867924528302,1470,2.864465759536,86622
2022-12-27,23.37%,+0.77%,42.27%,48%,1.6140939597315,779,2.8667114996638,86247
2022-12-23,22.61%,-0.49%,38.31%,39%,1.5581395348837,440,2.8746795015969,86138
2022-12-22,23.09%,+1.36%,41.14%,45%,2.0597014925373,820,2.9771745002701,88341
2022-12-21,21.73%,-1.31%,34.16%,35%,0.27185628742515,3186,2.9524513096038,88278
2022-12-20,23.05%,+0.09%,40.90%,44%,1.9833887043189,898,2.9553253771673,87828
2022-12-19,22.95%,+1.06%,40.41%,42%,46.450439146801,37818,1.9332408592972,82471
2022-12-16,21.89%,+0.88%,34.97%,37%,3.8528735632184,4222,1.8372553707435,83072
2022-12-15,21.01%,+0.06%,30.45%,30%,4.0916030534351,1334,1.8117675197321,82292
2022-12-14,20.95%,-0.08%,30.13%,29%,3.6703601108033,1686,1.8129622021364,82161
2022-12-13,21.03%,-3.10%,30.56%,31%,1.4664391353811,2168,1.8188089295618,81317
2022-12-12,24.13%,+0.58%,46.47%,53%,0.46736292428198,562,1.8233044808287,81218
2022-12-09,23.55%,-0.74%,43.47%,49%,0.99024390243902,816,1.838043745392,80836
2022-12-08,24.28%,-0.80%,47.26%,56%,0.8728813559322,1105,1.8548592897143,80547
2022-12-07,25.08%,+0.88%,51.37%,64%,1.1858823529412,929,1.8635697695194,80137
2022-12-06,24.21%,+0.53%,46.86%,56%,2.1161825726141,1502,1.866028708134,79667
2022-12-05,23.68%,+0.80%,44.15%,52%,0.51724137931034,836,1.8679959616355,79541
2022-12-02,22.88%,-0.23%,40.06%,45%,0.66666666666667,545,1.8637625761783,79415
2022-12-01,23.11%,+0.06%,41.23%,49%,0.37243947858473,737,1.8731679001596,79196
2022-11-30,23.05%,-1.27%,40.94%,47%,0.81786542923434,1567,1.8868742035318,79288
2022-11-29,24.32%,-0.20%,47.45%,57%,1.2630136986301,826,1.8867510425049,78918
2022-11-28,24.52%,+1.72%,48.49%,59%,2.4100418410042,815,1.8863369533314,78670
2022-11-25,22.81%,-0.16%,39.67%,46%,0.604,401,1.8888071504763,78538
2022-11-23,22.97%,-0.05%,40.52%,47%,3.6071428571429,387,1.8889952857985,78442
2022-11-22,23.02%,-1.13%,40.79%,48%,1.3992248062016,619,1.8883707158191,78038
2022-11-21,24.15%,-0.30%,45.46%,56%,0.74857142857143,612,2.0564167457556,86952
2022-11-18,24.46%,-1.71%,46.98%,58%,0.7102615694165,850,1.7903097938773,91511
