Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2023,109.1,109.51,109.1,109.48,0.48,+0.44%,7974300
04/21/2023,109.35,109.4018,108.65,109,0.07,+0.06%,18480600
04/20/2023,108.77,109.1,108.7466,108.93,0.41,+0.38%,16076000
04/19/2023,108.78,108.795,108.46,108.52,-0.54,-0.50%,14023700
04/18/2023,108.91,109.23,108.9,109.06,0.36,+0.33%,10522400
04/17/2023,109.06,109.165,108.58,108.7,-0.69,-0.63%,11891400
04/14/2023,109.44,109.57,109.03,109.39,-0.36,-0.33%,16218900
04/13/2023,109.9,110.045,109.55,109.75,0.19,+0.17%,18589000
04/12/2023,110.26,110.31,109.39,109.56,-0.23,-0.21%,20049100
04/11/2023,109.84,109.95,109.55,109.79,-0.03,-0.03%,14510100
04/10/2023,109.78,109.89,109.35,109.82,-0.51,-0.46%,10825500
04/06/2023,110.49,110.6,110.23,110.33,-0.1,-0.09%,14191300
04/05/2023,110.22,110.58,110.05,110.43,0.36,+0.33%,14674800
04/04/2023,109.42,110.2,109.29,110.07,0.14,+0.13%,20317700
04/03/2023,109.17,110.02,109,109.93,0.66,+0.60%,20093500
03/31/2023,108.7616,109.3448,108.5174,109.27,0.977,+0.90%,19247102
03/30/2023,108.1435,108.5124,108.1237,108.293,0.1495,+0.14%,18323946
03/29/2023,107.4257,108.1784,107.3859,108.1435,0.4984,+0.46%,17560372
03/28/2023,107.7049,107.8744,107.4093,107.6451,-0.1794,-0.17%,14181985
03/27/2023,108.1435,108.6519,107.7946,107.8245,-1.3059,-1.20%,16579226
03/24/2023,109.0906,109.3498,108.8413,109.1304,0.3389,+0.31%,26285543
03/23/2023,108.3728,108.8812,108.0438,108.7915,0.309,+0.28%,28793111
03/22/2023,107.7747,109.2501,107.4734,108.4825,0.6281,+0.58%,31532397
03/21/2023,107.7846,107.9142,107.3609,107.8544,0.5184,+0.48%,29199877
03/20/2023,107.7448,107.9441,107.2264,107.336,-0.319,-0.30%,24109790
03/17/2023,107.4457,108.0787,107.2762,107.655,0.5383,+0.50%,32111113
03/16/2023,107.7248,107.9641,106.7927,107.1167,-0.1595,-0.15%,38080019
