Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI"
2023-04-24,15.21%,+0.15%,2.58%,2%,1.0242318262737,7058966,1.9000529855569,18198688
2023-04-21,15.07%,-0.44%,1.67%,2%,1.2001000158865,7963097,2.0860740621727,22011988
2023-04-20,15.51%,+0.71%,4.38%,2%,1.2290300404408,8618295,2.0680669921336,21613452
2023-04-19,14.79%,-0.15%,0.00%,0%,1.3147109807883,6580390,2.0411189143498,21323599
2023-04-18,14.95%,-0.08%,0.00%,0%,1.1220639078136,7905000,2.023451177822,20709407
2023-04-17,15.03%,-0.30%,0.00%,0%,1.1824287585386,7088306,2.0447734391696,21584201
2023-04-14,15.33%,-0.58%,0.00%,0%,1.1780627617521,9602018,2.0924687751417,21621382
2023-04-13,15.91%,-1.40%,0.00%,0%,1.3595277356489,8166191,1.9548116612279,21056112
2023-04-12,17.31%,-0.08%,7.96%,7%,1.1024443259355,8830981,2.0065402468331,20655623
2023-04-11,17.69%,+0.30%,10.49%,11%,1.1909916376608,6190178,2.0151349238159,19882858
2023-04-10,17.39%,+17.39%,8.50%,7%,1.1369249231666,6919739,2.0720868372597,21344248
2023-04-06,16.88%,-0.63%,5.06%,2%,1.3790407674338,7176612,2.0016790612364,21459703
2023-04-05,17.51%,+0.25%,9.30%,8%,1.5433167627288,7303775,1.999220444552,21321998
2023-04-04,17.26%,+0.47%,7.66%,6%,1.4076876119105,8854524,2.0964706080984,20907673
2023-04-03,16.79%,-0.09%,12.18%,2%,1.3740174616882,8203028,2.2905924628535,22223750
2023-03-31,16.88%,-0.31%,12.77%,3%,1.6347408674168,10015891,2.0917707471813,21334291
2023-03-30,17.20%,-0.45%,14.69%,5%,1.3441625189883,8371649,2.1055179030932,20856975
2023-03-29,17.65%,-1.02%,17.46%,9%,1.5059421476912,7884328,2.01915221282,20265235
2023-03-28,18.67%,-0.33%,23.77%,20%,1.227743525893,7117547,2.0490798801862,20108383
2023-03-27,19.00%,-0.91%,25.83%,21%,1.1641681900274,7869238,2.0902483176158,20589450
2023-03-24,19.92%,-0.88%,31.46%,31%,1.4992798895474,9566956,2.0197957648649,20194552
2023-03-23,20.80%,+0.07%,36.89%,38%,1.6698727800102,11292291,2.0209633301305,19735026
2023-03-22,20.72%,+1.38%,36.44%,38%,1.4194667191231,9409173,2.1542647810334,19227026
2023-03-21,19.35%,-2.23%,27.96%,25%,1.3965446762491,7791543,2.0984079584411,18765703
2023-03-20,21.57%,-1.27%,41.68%,48%,1.4017936069813,7811423,1.9472441075073,21746612
2023-03-17,22.85%,+3.05%,49.53%,58%,1.1520925372925,9812750,2.1941459733197,22169149
2023-03-16,19.80%,-2.76%,30.73%,31%,1.2789203709131,11073110,2.008713583287,22154500
2023-03-15,22.56%,+1.57%,47.76%,57%,1.4246592988303,10785498,2.0080398948947,22033432
2023-03-14,20.99%,-3.40%,38.10%,43%,1.4651848292611,10558537,1.969361785824,21649014
2023-03-13,24.39%,+2.21%,59.04%,69%,1.625740694163,6723041,2.0571850426459,20024507
2023-03-10,22.18%,+1.23%,45.42%,52%,1.628079000818,14601988,1.9714614942055,21723208
2023-03-09,20.95%,+3.08%,37.85%,42%,1.4382624981418,11284786,2.0327755968253,21171488
2023-03-08,17.87%,-0.46%,18.87%,13%,1.3695770146824,7702457,1.9979325334367,20982242
2023-03-07,18.33%,+1.08%,21.68%,16%,1.2053066175842,9622346,2.1315301038492,20717104
2023-03-06,17.25%,+0.08%,15.03%,7%,1.3466558805745,8351523,2.2249725553196,21230778
2023-03-03,17.17%,-1.39%,14.52%,6%,1.5241567365271,9418853,2.0471180341015,20678197
