Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2023,104.96,105.4875,104.84,105.41,1.01,+0.97%,17034300
04/21/2023,105.3,105.46,104.27,104.4,-0.59,-0.56%,15244700
04/20/2023,104.83,105.28,104.753,104.99,0.89,+0.85%,16450000
04/19/2023,103.91,104.237,103.475,104.1,-0.1,-0.10%,16093900
04/18/2023,103.81,104.585,103.8,104.2,0.37,+0.36%,15922600
04/17/2023,104.42,104.59,103.71,103.83,-1.25,-1.19%,19528800
04/14/2023,105.39,105.55,104.77,105.08,-0.97,-0.91%,19801800
04/13/2023,107.05,107.39,105.88,106.05,-0.84,-0.79%,22079300
04/12/2023,107.05,107.165,105.88,106.89,-0.11,-0.10%,20563000
04/11/2023,107.05,107.09,106.51,107,0.22,+0.21%,13971200
04/10/2023,107.64,107.7618,106.56,106.78,-1.75,-1.61%,19134400
04/06/2023,108.42,108.87,108.39,108.53,0.28,+0.26%,16447200
04/05/2023,107.77,108.37,107.41,108.25,1.12,+1.05%,23047700
04/04/2023,105.78,107.8,105.75,107.13,0.53,+0.50%,18052400
04/03/2023,105.88,107.095,105.7,106.6,0.499,+0.47%,18234800
03/31/2023,105.0836,106.2905,104.8093,106.101,1.566,+1.50%,25460989
03/30/2023,104.1958,104.7843,104.0063,104.535,0.4788,+0.46%,14352091
03/29/2023,103.4378,104.1859,103.338,104.0562,-0.2095,-0.20%,16846901
03/28/2023,103.9764,104.4153,103.7569,104.2657,0.1896,+0.18%,17839405
03/27/2023,104.7843,105.4926,104.0612,104.0761,-2.5037,-2.35%,22280852
03/24/2023,106.8192,107.1583,105.9913,106.5798,0.4489,+0.42%,23717475
03/23/2023,105.0936,106.2806,104.5549,106.1309,0,0.00%,25539695
03/22/2023,104.3953,106.1808,104.1759,106.1309,1.3964,+1.33%,26455310
03/21/2023,104.8143,105.1534,104.2756,104.7345,-0.9077,-0.86%,18982899
03/20/2023,106.6097,106.6895,105.4527,105.6422,-0.9376,-0.88%,24304154
03/17/2023,106.3803,107.4576,106.1908,106.5798,1.576,+1.50%,38225561
03/16/2023,107.1085,107.7568,104.7744,105.0038,-0.8279,-0.78%,43212772
03/15/2023,106.51,107.4376,105.0786,105.8317,2.0049,+1.93%,45278595
03/14/2023,104.8741,105.3429,103.4876,103.8268,-1.7356,-1.64%,38515087
03/13/2023,107.9264,108.8241,104.7744,105.5624,0.2394,+0.23%,51632958
03/10/2023,103.7669,105.4266,103.737,105.323,3.5111,+3.45%,44082557
03/09/2023,101.2932,102.2607,101.0737,101.8119,0.2494,+0.25%,21604931
03/08/2023,102.141,102.7096,101.1635,101.5625,0.0997,+0.10%,20303647
03/07/2023,101.2034,102.1061,100.6249,101.4628,0.6185,+0.61%,23154947
03/06/2023,101.9615,102.0812,100.7346,100.8443,-0.788,-0.78%,16673971
03/03/2023,100.6748,101.6423,100.3157,101.6323,2.4039,+2.42%,30955593
03/02/2023,98.8095,99.393,98.6299,99.2284,-0.8878,-0.89%,23829368
03/01/2023,100.565,100.7745,99.7072,100.1162,-1.0872,-1.07%,19048165
02/28/2023,100.0691,101.2134,99.7805,101.2034,0.4577,+0.45%,15030564
02/27/2023,100.7855,101.1935,100.4074,100.7457,0.2786,+0.28%,14280226
02/24/2023,100.9348,101.288,100.0591,100.4671,-1.3234,-1.30%,21510636
02/23/2023,101.0343,102.079,100.9646,101.7905,0.9851,+0.98%,15908231
02/22/2023,100.487,101.1835,100.4472,100.8054,0.9154,+0.92%,15241313
02/21/2023,100.497,100.696,99.7805,99.89,-1.9801,-1.94%,22841663
02/17/2023,100.5965,101.8701,100.4621,101.8701,0.7861,+0.78%,19658708
02/16/2023,101.5616,101.7109,100.8253,101.084,-1.4527,-1.42%,19363746
02/15/2023,103.0343,103.4323,101.9845,102.5367,-0.9652,-0.93%,15645532
02/14/2023,103.681,104.3079,102.6213,103.5019,-0.2388,-0.23%,15517589
02/13/2023,103.1935,103.8949,103.0641,103.7407,0.8657,+0.84%,13200047
02/10/2023,103.88,103.9198,102.6014,102.875,-1.1642,-1.12%,16681391
02/09/2023,105.9397,106.089,103.8701,104.0392,-0.995,-0.95%,20572367
02/08/2023,104.5168,105.0541,103.8701,105.0342,0.4975,+0.48%,13598332
02/07/2023,104.8054,105.7009,104.477,104.5367,-0.8458,-0.80%,18381859
02/06/2023,105.2233,105.7755,105.1536,105.3825,-0.7861,-0.74%,15258396
02/03/2023,106.2382,106.5765,105.5517,106.1686,-1.6119,-1.50%,20722603
02/02/2023,108.3775,108.8074,107.5467,107.7805,0.1393,+0.13%,19646249
02/01/2023,107.0143,108.0491,105.89,107.6412,1.2786,+1.20%,25432368
01/31/2023,106.174,106.4718,105.0724,106.3626,0.8436,+0.80%,13809336
01/30/2023,105.6579,106.3527,105.39,105.519,-0.3871,-0.37%,11546590
01/27/2023,105.39,106.1542,105.3106,105.9061,-0.2679,-0.25%,11935315
01/26/2023,106.3328,106.839,105.6877,106.174,-0.4963,-0.47%,15667339
01/25/2023,106.5611,107.0921,105.8366,106.6703,0.2581,+0.24%,11996878
01/24/2023,105.3205,106.6405,104.596,106.4122,1.5085,+1.44%,16541826
01/23/2023,104.7746,105.3999,104.6952,104.9037,-0.4962,-0.47%,13059886
01/20/2023,106.1542,106.4321,105.3106,105.3999,-1.7368,-1.62%,22926725
01/19/2023,107.2856,107.5536,106.6306,107.1367,-0.6749,-0.63%,17325127
01/18/2023,107.6429,107.9505,106.313,107.8116,2.5506,+2.42%,35766658
01/17/2023,104.8739,105.8564,104.854,105.261,-0.6848,-0.65%,14017198
01/13/2023,106.2931,106.9879,105.5785,105.9458,-1.0024,-0.94%,17885439
01/12/2023,105.0228,106.9978,103.7723,106.9482,2.0644,+1.97%,32272725
