Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI"
2020-10-01,26.88%,-1.07%,22.10%,45%,0.84684684684685,615,2.5079771819042,114995
2020-09-30,27.96%,+0.26%,23.49%,50%,52.832298136646,8667,2.3375496486404,109238
2020-09-29,27.70%,+0.76%,23.16%,48%,0.088150289017341,753,2.3781700646445,108696
2020-09-28,26.94%,-0.44%,22.18%,45%,0.13793103448276,1155,2.4344077126221,107940
2020-09-25,27.38%,-0.83%,22.75%,47%,1.0378486055777,1023,2.4624466617472,107921
2020-09-24,28.21%,+0.34%,23.81%,50%,1.0234791889007,1896,2.429439416712,107242
2020-09-23,27.87%,+1.86%,23.37%,49%,1.6916890080429,1004,2.4256876022979,106741
2020-09-22,26.01%,-0.40%,20.98%,44%,9.5551839464883,3156,2.4291197626036,106313
2020-09-21,26.42%,+2.50%,21.50%,45%,0.77939042089985,2452,1.113822776067,293796
2020-09-18,23.91%,+2.02%,18.28%,36%,3.1191222570533,3942,1.2073510277551,327423
2020-09-17,21.90%,+0.54%,15.68%,28%,1.6825842696629,955,1.2056719416893,327121
2020-09-16,21.36%,-0.25%,14.99%,26%,0.27205641193834,7757,1.1833137329161,328604
2020-09-15,21.61%,-0.12%,15.31%,26%,1.5498763396538,3093,1.2794486048557,342127
2020-09-14,21.73%,-1.48%,15.47%,27%,1.0430379746835,3228,1.2809947237325,340662
2020-09-11,23.22%,+0.08%,17.38%,33%,12.130879345603,6421,1.2818908282915,340951
2020-09-10,23.14%,-0.24%,17.28%,33%,1.4319620253165,1537,1.2811146298516,340705
2020-09-09,23.38%,-4.02%,17.60%,33%,8.353591160221,1693,1.2735291753737,339447
2020-09-08,27.40%,+1.73%,22.77%,45%,0.90458015267176,998,1.2731222593233,339018
2020-09-04,25.67%,+1.00%,20.54%,40%,2.9464882943144,1180,1.2700556636041,338488
2020-09-03,24.67%,+1.93%,19.26%,37%,0.40851630073187,2117,1.2749108941578,337640
2020-09-02,22.74%,+0.09%,16.77%,32%,2.8458149779736,3492,1.263173539426,335004
2020-09-01,22.65%,-0.36%,16.65%,31%,0.65174129353234,664,1.2626403260363,334778
2020-08-31,23.01%,+1.92%,17.12%,32%,0.22272215973003,1087,1.2666160324963,334242
2020-08-28,21.09%,-0.55%,14.64%,26%,2.2151162790698,1106,1.263879936766,333671
2020-08-27,21.64%,+0.75%,15.35%,28%,2.0883280757098,1958,1.2608837680942,332212
2020-08-26,20.89%,+0.03%,14.38%,25%,1.6900237529691,2265,1.2583888733823,331737
2020-08-25,20.85%,-0.04%,14.33%,24%,0.7710396039604,1431,1.2641728783423,331090
2020-08-24,20.89%,+0.57%,14.39%,25%,1.4485330681253,4924,1.2970585036973,337980
2020-08-21,20.33%,-1.15%,13.66%,24%,0.25254296737987,3571,1.2780008297533,340429
2020-08-20,21.47%,+0.49%,15.14%,25%,1.1630648330059,1101,1.2774925605212,339811
2020-08-19,20.99%,+0.68%,14.51%,24%,0.24665924276169,2239,1.2735530390695,339903
2020-08-18,20.31%,-0.85%,13.63%,24%,1.5206286836935,1283,1.2752609036617,339453
2020-08-17,21.15%,-0.97%,14.72%,24%,1.9711538461538,1236,1.2728125921755,339040
2020-08-14,22.12%,-0.39%,15.97%,24%,0.67470956210903,1874,1.2690782156592,338669
2020-08-13,22.51%,+0.07%,16.47%,25%,0.48468468468468,824,1.2683113175302,338457
2020-08-12,22.45%,-1.53%,16.39%,25%,0.31978319783198,974,1.2713174646922,337888
2020-08-11,23.98%,+1.09%,18.36%,28%,0.69318181818182,1490,0,0
2020-08-10,22.88%,+0.32%,16.95%,26%,0.34703947368421,2457,1.2736943058023,336650
2020-08-07,22.56%,-1.06%,16.53%,26%,1.9773716275022,3421,1.2658226133138,334483
2020-08-06,23.62%,-0.53%,17.90%,26%,0.247533632287,1391,1.2736066423079,333529
2020-08-05,24.15%,-0.15%,18.58%,27%,0.3448275862069,1248,1.2769182364126,332890
2020-08-04,24.31%,-1.01%,18.78%,28%,0.48029556650246,1803,1.2821903103949,331673
2020-08-03,25.31%,+0.82%,20.08%,29%,5.14516765286,15578,1.2655797834136,324900
2020-07-31,24.50%,-0.46%,19.03%,28%,0.19097222222222,2058,1.2770459503202,323591
2020-07-30,24.95%,+1.38%,19.62%,28%,0.27501799856012,1771,1.2775243426944,323019
2020-07-29,23.58%,-2.12%,17.84%,27%,0.80661840744571,1747,1.2771230000212,322074
2020-07-28,25.70%,-0.06%,20.58%,29%,3.1288580246914,5351,1.2653893134108,318994
2020-07-27,25.76%,-0.57%,20.66%,29%,0.42398561890087,5545,1.2597046983684,317719
2020-07-24,26.33%,-0.46%,21.39%,30%,0.35676625659051,772,1.2603640040445,317441
2020-07-23,26.79%,+0.93%,21.98%,30%,1.0024844720497,1612,1.2629935550252,316715
2020-07-22,25.86%,-1.29%,20.79%,30%,0.15096108766995,7365,1.3008846947803,312092
2020-07-21,27.15%,-1.41%,22.45%,30%,0.24910071942446,1389,1.3070291187285,311209
2020-07-20,28.56%,+0.83%,24.26%,35%,0.85874912157414,2645,1.1826268934361,328529
2020-07-17,27.73%,-2.17%,23.20%,31%,0.70055970149254,1823,1.1833501206033,329485
2020-07-16,29.90%,+0.83%,25.99%,39%,0.22548231511254,3049,1.184293179811,328948
2020-07-15,29.07%,-2.23%,24.92%,38%,0.11546723952739,4154,1.1784869038647,329531
2020-07-14,31.31%,-1.18%,27.80%,44%,1.2277227722772,1350,1.177467326431,328717
2020-07-13,32.49%,+1.98%,29.32%,49%,0.40973312401884,2694,1.1751093607517,329168
2020-07-10,30.51%,-1.05%,26.77%,42%,0.20759338640539,1972,1.1839127915881,327956
2020-07-09,31.56%,+0.06%,28.13%,47%,0.29531471840984,2737,1.1919750232817,327172
2020-07-08,31.50%,+0.08%,28.05%,45%,0.49484536082474,725,1.1932492905113,326906
2020-07-07,31.42%,+0.89%,27.95%,45%,1.3742071881607,1123,1.1918230338022,326483
2020-07-06,30.53%,+0.06%,26.80%,44%,0.61550387596899,1042,1.193941555732,325989
2020-07-02,30.47%,-0.54%,26.72%,43%,1.3416230366492,1789,1.1963322545847,325760
2020-07-01,31.01%,-2.54%,27.42%,44%,0.94582723279649,3987,1.1962201411509,323635
"Downloaded from Barchart.com as of 04-24-2023 10:39pm CDT"
