Date,Dividends
2015-03-20,0.931000
2015-06-19,1.030000
2015-09-18,1.033000
2015-12-18,1.212000
2016-03-18,1.050000
2016-06-17,1.078000
2016-09-16,1.082000
2016-12-16,1.329000
2017-03-17,1.033000
2017-06-16,1.183000
2017-09-15,1.235000
2017-12-15,1.351000
2018-03-16,1.097000
2018-06-15,1.246000
2018-09-21,1.323000
2018-12-21,1.435000
2019-03-15,1.233000
2019-06-21,1.432000
2019-09-20,1.384000
2019-12-20,1.570000
2020-03-20,1.406000
2020-06-19,1.366000
2020-09-18,1.339000
2020-12-18,1.580000
2021-03-19,1.278000
2021-06-18,1.376000
2021-09-17,1.428000
2021-12-17,1.633000
2022-03-18,1.366000
2022-06-17,1.577000
2022-09-16,1.596000
2022-12-16,1.781000
2023-03-17,1.506000
